Company Name,Reviews,Overall_job_satisfaction_score,Women_fair_equal_treatment,Would_recommend_to_other_women,CEO_support_gender_diversity,Women_in_WF,Women_senior_mgmt,Women_directors_onboard,CEO_Gender,Flexibility_Avg,wl_hours,wL_policies,wl_culture,better_wlb_retain,work_from_home,flexible_jobs,partime_jobs,paid_maternity,unpaid_maternity,paid_paternity,unpaid_paternity 
3M,50,3.9,70,70,89,,,,no,4,62,60,54,8,Available,Available,Available,10,10,,10
ADP,606,4.4,91,93,92,,,,no,4,75.91,61.72,83.66,14.85,Available,Available,Available,6,6,16,
Amazon,198,3,45,37,40,,,,no,3,19.7,22.73,17.17,19.19,Available,Available,Available,12,0,6,
American Express,71,3.6,68,73,68,,,,no,4,47.89,42.25,47.89,12.68,Available,Available,Available,20,0,,
Apple,120,3.7,66,65,66,,,,no,3,14.17,20.83,13.33,18.33,Available,Available,Available,14,6,4,
Aramark,44,3.6,61,55,69,,,,no,4,31.82,29.55,31.82,11.36,,,,2,10,,
AT&T,60,3.4,54,60,69,,,,no,3,45,31.67,41.67,13.33,Available,Available,Available,9,6,,
Baker Hughes,41,4.2,80,85,90,,,,no,4,65.85,63.41,68.29,9.76,Available,Not Available,Not Available,8,0,,
Bank of America,114,3.2,57,43,74,55,33,31,no,3,40.35,32.46,35.09,20.18,Available,Not Available,Available,16,4,,
Boeing,45,3,27,33,43,,,,no,3,48.89,28.89,33.33,31.11,Available,Available,Available,12,9,12,
Boston Scientific,115,4.6,91,93,93,,,,no,4,74.78,81.74,81.74,7.83,Available,Not Available,Available,12,0,,
Capital One,150,4.2,76,87,77,54,,,no,4,78,80.67,77.33,7.33,Available,Not Available,Available,18,0,,
Caterpillar ,54,3.3,31,49,35,,,,no,3,59.26,29.63,29.63,31.48,Not Available,Not Available,Available,5,6,4,
CDW,156,4.5,90,92,92,,,,yes,4,75,57.69,78.85,6.41,Available,Not Available,Not Available,6,4,2,
Charles Schwab,156,4,66,76,69,,,,no,4,67.31,49.36,70.51,24.36,Not Available,Not Available,Available,8,6,6,
Chevron,41,3.3,46,46,45,,,,no,3,31.71,14.63,24.39,12.2,Available,Available,Available,12,26,8,
Cisco,223,4.1,72,78,92,,,,no,4,56.95,46.64,58.3,4.04,Available,Available,Available,13,2,0,
Citigroup,74,3.2,55,59,71,,,,yes,4,45.95,37.84,39.19,10.81,Available,Available,Available,16,4,4.5,
Cognizant,101,3.5,55,57,62,,,,no,4,63.37,27.72,45.54,7.92,Available,Available,Available,4,2,,
Comcast,49,3.5,57,59,76,,,,no,4,48.98,30.61,46.94,12.24,Available,Not Available,Available,12,4,,
Women_senior_mgmt,70,2.7,59,34,50,,,,yes,3,24.29,8.57,22.86,18.57,Available,Not Available,Available,4,4,4,
Dell,211,4.3,79,85,82,,,,no,4,66.35,54.98,72.51,9,,,Available,12,0,12,
Equinix,48,4.7,92,94,100,,,25,no,4,54.17,58.33,91.67,8.33,Not Available,Available,Not Available,8,4,8,
ExxonMobil,37,2.7,24,38,19,,,,no,3,24.32,18.92,16.22,35.14,Not Available,Not Available,Not Available,8,0,,
General Motors,53,3.7,57,74,91,,,,yes,4,56.5,43.4,56.6,3.77,Available,Available,Available,12,12,12,
Gilead Sciences,173,4.5,84,88,92,,,,no,4,56.65,64.74,73.41,22.54,Available,Not Available,Not Available,12,6,0,
Goldman Sachs,74,3.5,55,65,63,,,,no,3,28.38,39.19,31.08,32.43,Available,Available,Available,20,3,20,
Google ,161,3.8,55,66,75,,,,no,4,28.57,30.43,29.19,6.21,Available,Available,Available,24,0,18,
Hewlett Packard Enterprise,40,3.2,55,55,70,,,,no,3,57.5,30,55,22,,,,26,6,26,
Home Depot,72,3.3,51,56,54,,,,no,3,25,18.06,33.33,11.11,Available,Not Available,Available,6,6,6,
Honeywell,41,3.1,27,37,43,,,,no,3,31.71,7.32,17.07,31.71,Not Available,Not Available,Not Available,4,12,,
HP,142,3.9,64,63,84,,,,no,4,42.25,28.87,44.37,4.23,Available,Available,Available,14,6,,
IBM,719,4,83,80,91,,,,no,4,66.2,56.88,62.17,12.66,Available,Not Available,Available,12,0,12,
Intel,268,4.3,80,82,78,,,,no,4,52.24,50,63.06,12.69,Available,Available,Available,8,12,7.5,
Intuit,77,4.3,84,88,87,,,,no,4,64.94,55.84,72.73,9.09,Available,Available,Available,12,8,,
Johnson & Johnson ,86,4.2,72,88,85,,,,no,4,65.12,63.95,70.93,9.3,Available,Available,Available,16,24,8,
JPMorgan,111,3.3,61,61,77,,,,no,3,24.32,44.14,31.53,23.42,,,,12.5,0,,
Liberty Mutual Insurance ,67,3.2,43,43,55,,,,no,4,44.78,28.36,26.87,5.97,Available,Available,Available,16,0,,
Lumen,68,3.9,71,72,79,31,28,18,no,4,58.82,66.18,61.76,7.35,Available,Available,Available,12,1,6,
Macys,40,3.3,75,65,64,,,,no,3,50,35,47.5,15,Available,Available,Available,11.5,6,,
Marsh,48,4.6,92,96,96,,,,no,4,60.42,64.58,87.5,12.5,Not Available,Available,Available,8.5,8.5,,
Meta,57,4.1,75,82,84,37,33,29,no,4,49.12,49.12,54.39,15.79,Available,Available,Available,22,0,,
Microsoft ,264,3.6,58,66,70,,,,no,4,15.15,16.29,14.39,4.17,Available,Available,Available,12,3,,
Morgan Stanley,70,3.1,34,40,46,,,,no,3,30,31.43,32.86,11.43,Not Available,Available,Available,16,0,,
Nordstrom,42,3.4,74,63,67,,,,no,3,33.33,38.1,35.71,19.05,Available,Available,Available,12,3,,
Oracle,97,3.1,36,41,20,,,,yes,4,38.14,22.68,25.77,3.09,Available,Available,Available,14,4,5,26
PepsiCo,194,3.9,78,78,87,,41,,no,4,59.79,46.91,56.19,24.23,Available,Available,Available,6,6,,
Pfizer,95,4.1,78,79,81,,34,,no,4,48.94,37.23,57.45,13.83,Available,Not Available,Available,12,12,,
PNC,46,3.6,74,70,81,60,31,29,no,4,43.48,50,56.52,15.22,Not Available,Not Available,Not Available,12,0,6,
PVH,54,4.5,94,96,96,,,,no,4,61.11,77.78,75.93,11.11,Not Available,Available,Available,6,4,,
Qualcomm,47,3.6,40,55,60,,,,no,4,46.81,34.03,29.79,14.89,Available,Not Available,Available,12,12,,
Raytheon,258,4.1,69,78,79,,,,no,4,74.42,68.22,63.18,9.3,,,,8,3,3,
Robert Half,49,3.6,78,65,66,,,,no,4,59.19,16.33,40.82,18.37,Available,Available,Available,6,4,,
Saleforce,113,3.8,63,70,81,34,26,,no,4,39.82,40.71,37.17,10.62,Available,Available,Available,26,0,26,
Spectrum,50,3.4,62,56,61,,,,no,3,36,32,42,22,Available,Available,Available,6,6,2,
Starbucks,48,3.5,83,72,80,,,,no,3,29.17,31.25,27.08,14.58,Available,Available,Available,6,9,6,
State Farm,43,3.1,76,53,35,,,,no,3,27.91,11.63,30.23,12.68,Available,Available,Available,9,0,6,
Target,76,3.1,69,54,46,58,50,31,no,3,32.89,25,39.47,22.37,Available,Available,Available,6,6,4,
The Coca-Cola Company,45,3.3,43,53,44,,,,no,4,20,15.56,15.56,8.89,Available,Not Available,Not Available,12,0,,
The Hartford,65,4.5,77,88,95,,,33,no,4,70.77,64.62,78.46,10.77,Available,Available,Available,5,6,,
Walt Disney,65,3.7,59,69,59,,,,no,3,32.31,24.62,38.46,23.08,Not Available,Not Available,Not Available,5,4,4.5,4
Uber,62,3.8,78,76,86,,,,no,4,51.61,53.23,53.23,11.29,,,,18,0,18,
United Health Group,68,3.5,62,54,52,,,,no,3,47.06,20.59,38.24,13.24,Available,Not Available,Not Available,4,8,5,4
UPS,92,2.7,30,38,43,,,,yes,2,11.96,10.87,10.87,7.61,Not Available,Not Available,Available,8,3,,
US Foods,84,4.6,88,93,75,,27,20,no,4,66.67,60.71,89.9,13.1,Not Available,Available,Available,6,6,2,
Verizon,60,3.5,67,62,59,,,,no,3,41.57,55,40,26.67,Available,Available,Available,8,4,8,
Walgreens,49,2.9,53,39,25,,,,yes,3,18.37,10.2,10.2,16.33,Available,Not Available,Available,6,3,8,24
Walmart,87,2.7,53,38,36,,,,no,3,32.18,28.74,26.44,31.03,Available,Available,Available,12,6,6,
Wells Fargo,99,3.2,52,56,41,,,,no,3,25.25,20.2,36.26,16.16,Available,Available,Available,16,5,4,
ServiceNow,127,4.7,91,91,95,,,,no,4,59.84,73.23,85.83,13.39,Available,,,20,0,12,
Hilton,61,4.3,77,89,86,,,,no,4,60.66,47.54,62.3,11.48,Available,Available,Available,12,6,,
Hanover Insurance,59,4.6,93,97,95,60,28,31,no,5,67.8,74.58,93.22,1.69,Available,Not Available,Available,8,4,2,
Gartner,76,3.6,62,66,66,,,,no,4,60.27,46.58,49.32,20.55,Available,Available,Available,12,0,,
